Date,symbol,open,high,low,Adj Close,Volume ETH,Volume USDT,tradecount
8/17/2017,ETH/USDT,303.61,312.18,298.21,302,6155.32,1890017.53,NULL
8/18/2017,ETH/USDT,302,311.79,283.94,293.96,9392.79,2815460.24,NULL
8/19/2017,ETH/USDT,293.96,299.9,278,290.91,2140.08,618248.58,NULL
8/20/2017,ETH/USDT,290.91,300.53,282.85,299.1,2469.49,730800.66,NULL
8/21/2017,ETH/USDT,299.1,346.52,294.6,323.29,5134.54,1661944.36,NULL
8/22/2017,ETH/USDT,323.29,330.41,144.21,309.8,7807.91,2408767.25,NULL
8/23/2017,ETH/USDT,309.8,324.99,309.41,315.74,8532.37,2711275.03,NULL
8/24/2017,ETH/USDT,315.74,328.04,314.01,323.42,6608.08,2113017.42,NULL
8/25/2017,ETH/USDT,323.42,338.28,323.42,327.24,7026.71,2321556.04,NULL
8/26/2017,ETH/USDT,327.24,335.44,323.41,330.79,4821.82,1583578.33,NULL
8/27/2017,ETH/USDT,330.79,348.13,330.73,348.13,4580.62,1536125.51,NULL
8/28/2017,ETH/USDT,348.13,351,331.95,346,4230.19,1447042.11,NULL
8/29/2017,ETH/USDT,346,377.6,346,374.7,2900.75,1054485.89,NULL
8/30/2017,ETH/USDT,374.7,393.71,362.05,385.93,4331.81,1636125.32,NULL
8/31/2017,ETH/USDT,385.93,389.36,377.78,384.79,4375.31,1681160.72,NULL
9/1/2017,ETH/USDT,384.79,394.39,383.18,388.46,4156.84,1618914.43,NULL
9/2/2017,ETH/USDT,388.46,394.32,320.08,343.14,7919.71,2791543.78,NULL
9/3/2017,ETH/USDT,343.14,367.28,320.08,341.77,5012.55,1718948.68,NULL
9/4/2017,ETH/USDT,341.77,344.55,267.94,283.77,6366.69,1893325.25,NULL
9/5/2017,ETH/USDT,283.77,321.52,235.55,312.09,7840.86,2253410.75,NULL
9/6/2017,ETH/USDT,312.09,336.34,312.09,335,5243.66,1714528.14,NULL
9/7/2017,ETH/USDT,335,342.5,320.17,334.49,2977.82,985179.06,NULL
9/8/2017,ETH/USDT,334.49,335.1,272,302.99,4874.53,1481290.06,NULL
9/9/2017,ETH/USDT,302.99,307,281.66,296.74,2713.25,805572.88,NULL
9/10/2017,ETH/USDT,296.74,302.78,261.03,293.5,4060.25,1155244.93,NULL
9/11/2017,ETH/USDT,293.5,304.98,285.21,297.3,4779.63,1421764.78,NULL
9/12/2017,ETH/USDT,297.3,316.46,286.01,293.96,5140.78,1562612.65,NULL
9/13/2017,ETH/USDT,293.96,294.5,257.05,276.91,6341.5,1730175.07,NULL
9/14/2017,ETH/USDT,276.91,283.77,215,215.21,12488.22,3082667.27,NULL
9/15/2017,ETH/USDT,215.21,270.93,192,253,14101.49,3291332.29,NULL
9/16/2017,ETH/USDT,253,271.81,235.51,249.31,10265.41,2621693.27,NULL
