Name,Code,Date,Open,Adj Close,High,Low,Volume,First,Last
Firooze ETF-a,CFIF,20150127,9598,9597.85,9598,9598,139802,9597.85,9597.85
Firooze ETF-a,CFIF,20150128,9598,9597.85,9598,9598,56330,9597.85,9597.85
Firooze ETF-a,CFIF,20150131,9598,9597.85,9598,9598,104240,9597.85,9597.85
Firooze ETF-a,CFIF,20150201,9598,9597.85,9598,9598,25200,9597.85,9597.85
Firooze ETF-a,CFIF,20150202,9598,9597.85,9598,9598,1002290,9597.85,9597.85
Firooze ETF-a,CFIF,20150203,9598,9597.85,9598,9598,501350,9597.85,9597.85
Firooze ETF-a,CFIF,20150204,9598,9597.85,9598,9598,1012000,9597.85,9597.85
Firooze ETF-a,CFIF,20150207,9598,9597.85,9598,9598,5250,9597.85,9597.85
Firooze ETF-a,CFIF,20150208,9598,9597.85,9598,9598,500000,9597.85,9597.85
Firooze ETF-a,CFIF,20150209,9598,9597.85,9598,9598,285400,9597.85,9597.85
Firooze ETF-a,CFIF,20150210,9598,9597.85,9598,9598,4407870,9597.85,9597.85
Firooze ETF-a,CFIF,20150302,9598,9641.04,9828,9598,200309,9641.04,9597.85
Firooze ETF-a,CFIF,20150304,9641,9507.63,9512,9507,920,9506.67,9511.47
Firooze ETF-a,CFIF,20150307,9508,9422.21,9502,9406,605,9501.87,9405.89
Firooze ETF-a,CFIF,20150314,9422,9453.88,9455,9454,100000,9454.84,9453.88
Firooze ETF-a,CFIF,20150315,9454,9597.85,9598,9598,200,9597.85,9597.85
Firooze ETF-a,CFIF,20150317,9598,9411.65,9415,9406,600,9415.49,9415.49
Firooze ETF-a,CFIF,20150318,9412,9584.41,9598,9502,1100,9593.05,9588.25
Firooze ETF-a,CFIF,20150325,9584,9596.89,9598,9593,2200,9593.05,9597.85
Firooze ETF-a,CFIF,20150328,9597,9599.77,9600,9600,1990,9599.77,9599.77
Firooze ETF-a,CFIF,20150329,9600,10075.82,10164,9599,104480,9598.81,10164.12
Firooze ETF-a,CFIF,20150330,10076,9987.52,9988,9988,750,9987.52,9987.52
Firooze ETF-a,CFIF,20150331,9988,9993.28,9993,9992,23700,9993.28,9992.32
Firooze ETF-a,CFIF,20150404,9993,11228.53,11517,10750,271243,10749.59,11511.66
Firooze ETF-a,CFIF,20150405,11229,11602.84,12381,11425,319908,11425.28,11613.40
Firooze ETF-a,CFIF,20150406,11603,11084.56,11410,11038,108078,11085.52,11037.53
Firooze ETF-a,CFIF,20150407,11085,10757.27,10942,10750,9081,10941.55,10798.54
Firooze ETF-a,CFIF,20150408,10757,11302.43,11804,10877,114183,10877.24,11303.39
