Name,Code,Date,Open,Adj Close,High,Low,Volume,First,Last
Iran Khodro-a,IKCO,20010325,53,53.06,53,53,110870,53.02,53.06
Iran Khodro-a,IKCO,20010326,53,53.02,53,53,96613,53.08,53.02
Iran Khodro-a,IKCO,20010327,53,52.96,53,53,166600,52.96,52.96
Iran Khodro-a,IKCO,20010328,53,53.99,54,53,80676,53.06,53.99
Iran Khodro-a,IKCO,20010331,54,53.78,54,53,177362,53.82,53.78
Iran Khodro-a,IKCO,20010403,54,54.35,54,54,55562,53.82,54.35
Iran Khodro-a,IKCO,20010407,54,54.95,56,54,122642,54.35,54.95
Iran Khodro-a,IKCO,20010408,55,56.92,57,55,299359,55.33,56.92
Iran Khodro-a,IKCO,20010409,57,58.78,60,57,434320,57.38,58.78
Iran Khodro-a,IKCO,20010410,59,58.36,60,58,592395,59.79,58.36
Iran Khodro-a,IKCO,20010411,58,58.36,59,58,604953,58.40,58.36
Iran Khodro-a,IKCO,20010414,58,58.59,59,58,434057,58.44,58.59
Iran Khodro-a,IKCO,20010415,59,57.97,59,58,229777,58.61,57.97
Iran Khodro-a,IKCO,20010416,58,58.14,58,57,268061,57.95,58.14
Iran Khodro-a,IKCO,20010417,58,58.31,59,58,386136,58.14,58.31
Iran Khodro-a,IKCO,20010418,58,58.35,59,58,534555,58.35,58.35
Iran Khodro-a,IKCO,20010421,58,58.50,59,58,2129585,58.35,58.50
Iran Khodro-a,IKCO,20010422,58,58.44,59,58,1014348,58.57,58.44
Iran Khodro-a,IKCO,20010423,58,58.55,59,58,495008,58.48,58.55
Iran Khodro-a,IKCO,20010424,59,59.31,59,59,705864,58.54,59.31
Iran Khodro-a,IKCO,20010425,59,62.27,62,59,94443,60.68,62.27
Iran Khodro-a,IKCO,20010428,62,65.38,65,64,962280,65.38,65.38
Iran Khodro-a,IKCO,20010429,65,66.70,68,65,651640,65.38,66.70
Iran Khodro-a,IKCO,20010430,67,66.91,68,67,515842,67.27,66.91
Iran Khodro-a,IKCO,20010501,67,67.01,67,66,415255,67.25,67.01
Iran Khodro-a,IKCO,20010502,67,64.81,67,65,307281,66.89,64.81
Iran Khodro-a,IKCO,20010505,65,64.58,65,64,470082,64.64,64.58
Iran Khodro-a,IKCO,20010506,65,65.47,66,65,670450,65.00,65.47
Iran Khodro-a,IKCO,20010507,65,68.03,68,65,525826,65.47,68.03
Iran Khodro-a,IKCO,20010508,68,68.18,69,66,642528,68.03,68.18
Iran Khodro-a,IKCO,20010509,68,67.76,68,68,290450,68.12,67.76
Iran Khodro-a,IKCO,20010512,68,66.68,68,66,180715,67.78,66.68
Iran Khodro-a,IKCO,20010513,67,66.65,67,65,367043,66.51,66.65
Iran Khodro-a,IKCO,20010515,67,66.38,67,66,283850,66.65,66.38
Iran Khodro-a,IKCO,20010516,66,66.32,67,66,339597,66.38,66.32
Iran Khodro-a,IKCO,20010519,66,66.10,67,65,1145576,66.32,66.10
Iran Khodro-a,IKCO,20010520,66,65.28,66,65,480474,66.10,65.28
Iran Khodro-a,IKCO,20010521,65,64.71,65,65,389722,65.30,64.71
Iran Khodro-a,IKCO,20010523,65,65.76,66,65,372608,64.81,65.76
Iran Khodro-a,IKCO,20010526,66,66.34,67,66,396099,65.94,66.34
Iran Khodro-a,IKCO,20010527,66,68.64,69,66,512473,66.70,68.64
Iran Khodro-a,IKCO,20010528,69,67.63,69,67,272305,68.79,67.63
Iran Khodro-a,IKCO,20010529,68,66.32,67,66,394759,67.46,66.32
Iran Khodro-a,IKCO,20010530,66,66.89,67,66,331146,66.49,66.89
Iran Khodro-a,IKCO,20010602,67,66.30,67,66,507965,66.89,66.30
Iran Khodro-a,IKCO,20010603,66,66.32,66,66,270617,66.29,66.32
Iran Khodro-a,IKCO,20010606,66,66.40,66,66,302522,66.29,66.40
Iran Khodro-a,IKCO,20010609,66,67.54,68,66,356390,67.08,67.54
Iran Khodro-a,IKCO,20010611,68,68.22,69,68,768864,67.65,68.22
Iran Khodro-a,IKCO,20010612,68,67.88,68,67,546106,68.22,67.88
Iran Khodro-a,IKCO,20010613,68,67.40,68,43,649121,67.82,67.40
Iran Khodro-a,IKCO,20010616,67,66.46,67,66,366728,67.27,66.46
Iran Khodro-a,IKCO,20010617,66,66.25,66,66,547261,66.42,66.25
Iran Khodro-a,IKCO,20010618,66,66.51,67,66,491032,65.98,66.51
Iran Khodro-a,IKCO,20010619,67,67.08,67,67,951258,66.51,67.08
Iran Khodro-a,IKCO,20010620,67,67.84,68,66,596395,66.89,67.84
Iran Khodro-a,IKCO,20010623,68,67.08,68,67,440805,67.84,67.08
