Name,Code,Date,Open,Adj Close,High,Low,Volume,First,Last
Khalij Fars-a,PKLJ,20130416,60,446.37,446,446,1400000,446.37,446.37
Khalij Fars-a,PKLJ,20130417,446,463.51,464,457,79684517,458.27,464.22
Khalij Fars-a,PKLJ,20130420,464,461.49,473,450,30366404,470.17,452.56
Khalij Fars-a,PKLJ,20130421,461,459.04,467,448,36871260,452.86,466.60
Khalij Fars-a,PKLJ,20130422,459,476.30,477,470,10496140,473.15,477.38
Khalij Fars-a,PKLJ,20130423,476,479.34,495,495,1184636,495.35,495.35
Khalij Fars-a,PKLJ,20130424,479,482.43,499,499,1200750,498.50,498.50
Khalij Fars-a,PKLJ,20130427,482,483.68,502,502,490978,501.72,501.72
Khalij Fars-a,PKLJ,20130428,484,486.90,503,503,1224586,503.03,503.03
Khalij Fars-a,PKLJ,20130429,487,487.85,506,506,369499,506.36,506.36
Khalij Fars-a,PKLJ,20130430,488,489.40,507,507,590511,507.31,507.31
Khalij Fars-a,PKLJ,20130501,489,491.42,509,509,778980,508.92,508.92
Khalij Fars-a,PKLJ,20130504,491,493.15,511,511,664311,511.06,511.06
Khalij Fars-a,PKLJ,20130505,493,494.99,513,513,686204,512.85,512.85
Khalij Fars-a,PKLJ,20130506,495,514.75,515,515,8837712,514.75,514.75
Khalij Fars-a,PKLJ,20130507,515,535.28,535,535,9446411,535.28,535.28
Khalij Fars-a,PKLJ,20130508,535,554.39,557,542,186234243,556.65,545.82
Khalij Fars-a,PKLJ,20130511,554,562.60,577,542,48991087,553.44,576.53
Khalij Fars-a,PKLJ,20130512,563,584.15,585,568,67650444,585.10,585.10
Khalij Fars-a,PKLJ,20130513,584,600.69,607,584,39811901,589.21,595.16
Khalij Fars-a,PKLJ,20130514,601,579.39,595,577,35654854,594.50,577.84
Khalij Fars-a,PKLJ,20130515,579,588.37,603,559,44506577,590.99,576.71
Khalij Fars-a,PKLJ,20130518,588,570.40,571,565,5793642,566.05,564.86
Khalij Fars-a,PKLJ,20130519,570,549.15,564,548,63548067,547.60,562.42
Khalij Fars-a,PKLJ,20130520,549,550.10,559,543,16182852,547.54,544.63
Khalij Fars-a,PKLJ,20130521,550,532.25,542,528,22660069,535.76,532.90
Khalij Fars-a,PKLJ,20130522,532,530.76,547,512,11716805,517.79,543.97
Khalij Fars-a,PKLJ,20130525,531,536.95,552,545,2253471,547.54,551.95
Khalij Fars-a,PKLJ,20130526,537,541.65,558,558,1639309,558.38,558.38
Khalij Fars-a,PKLJ,20130527,542,563.32,563,563,11151713,563.32,563.32
Khalij Fars-a,PKLJ,20130528,563,580.93,586,571,32906750,577.30,585.81
Khalij Fars-a,PKLJ,20130529,581,603.19,604,590,29467222,589.50,604.14
Khalij Fars-a,PKLJ,20130601,603,591.17,619,579,25834272,603.49,579.09
Khalij Fars-a,PKLJ,20130602,591,584.33,592,576,21119559,575.52,584.27
Khalij Fars-a,PKLJ,20130603,584,600.10,608,582,32980495,586.83,607.66
Khalij Fars-a,PKLJ,20130608,600,610.33,617,599,23856349,617.18,610.63
Khalij Fars-a,PKLJ,20130609,610,592.96,610,586,18789866,610.04,585.93
Khalij Fars-a,PKLJ,20130610,593,581.59,595,572,18502757,577.30,574.92
Khalij Fars-a,PKLJ,20130611,582,572.48,589,567,12663180,581.83,568.97
Khalij Fars-a,PKLJ,20130612,572,562.54,571,557,16370437,571.23,562.30
Khalij Fars-a,PKLJ,20130615,563,572.42,585,583,3275925,585.04,585.04
Khalij Fars-a,PKLJ,20130616,572,593.91,595,580,29804682,595.28,594.50
Khalij Fars-a,PKLJ,20130617,594,589.98,595,580,12362082,595.16,586.83
Khalij Fars-a,PKLJ,20130618,590,583.31,591,580,12601329,589.21,581.35
Khalij Fars-a,PKLJ,20130619,583,580.58,587,577,9869644,580.93,578.37
Khalij Fars-a,PKLJ,20130622,581,561.41,585,557,18811507,584.50,557.36
Khalij Fars-a,PKLJ,20130623,561,558.67,565,548,7689130,548.02,552.90
Khalij Fars-a,PKLJ,20130625,559,556.12,562,551,4742291,559.51,557.66
Khalij Fars-a,PKLJ,20130626,556,575.81,578,560,9151196,563.91,578.31
Khalij Fars-a,PKLJ,20130629,576,590.16,596,581,10238979,587.42,586.23
Khalij Fars-a,PKLJ,20130630,590,591.17,596,580,14371785,592.18,592.18
Khalij Fars-a,PKLJ,20130701,591,601.29,613,587,11851191,592.18,596.88
Khalij Fars-a,PKLJ,20130702,601,587.96,599,580,7584617,598.25,583.08
Khalij Fars-a,PKLJ,20130703,588,584.44,592,578,15485412,580.28,581.65
Khalij Fars-a,PKLJ,20130706,584,604.62,608,588,13072342,589.21,607.77
Khalij Fars-a,PKLJ,20130707,605,625.81,629,605,36665305,628.78,628.78
Khalij Fars-a,PKLJ,20130708,626,619.26,630,609,8871000,629.68,610.10
Khalij Fars-a,PKLJ,20130709,619,605.87,618,598,11155213,613.01,603.73
Khalij Fars-a,PKLJ,20130729,606,527.31,536,518,31372446,517.79,529.10
Khalij Fars-a,PKLJ,20130731,527,527.49,541,518,15634029,524.33,523.14
Khalij Fars-a,PKLJ,20130803,527,512.01,527,506,20476274,526.71,506.60
Khalij Fars-a,PKLJ,20130804,512,499.34,506,495,15395336,500.05,503.03
Khalij Fars-a,PKLJ,20130805,499,515.76,519,508,6722424,507.85,519.27
Khalij Fars-a,PKLJ,20130806,516,534.81,536,528,15166794,535.05,536.36
Khalij Fars-a,PKLJ,20130807,535,536.36,553,530,12460440,547.54,535.52
Khalij Fars-a,PKLJ,20130811,536,554.75,558,545,9350627,552.60,557.36
