Name,Code,Date,Open,Adj Close,High,Low,Volume,First,Last
Tamin Petro.-a,PTAP,20130709,436,1525.02,1525,1525,1450000000,1525.02,1525.02
Tamin Petro.-a,PTAP,20130710,1525,1586.02,1586,1586,9100279,1586.02,1586.02
Tamin Petro.-a,PTAP,20130713,1586,1619.13,1649,1577,286615698,1649.20,1590.38
Tamin Petro.-a,PTAP,20130714,1619,1575.56,1606,1557,79697159,1603.45,1586.02
Tamin Petro.-a,PTAP,20130715,1576,1614.78,1637,1590,59148749,1594.73,1590.38
Tamin Petro.-a,PTAP,20130716,1615,1595.61,1630,1578,46474422,1616.52,1581.66
Tamin Petro.-a,PTAP,20130717,1596,1596.91,1617,1577,46471305,1590.38,1586.46
Tamin Petro.-a,PTAP,20130720,1597,1648.76,1661,1599,94687661,1603.45,1660.53
Tamin Petro.-a,PTAP,20130721,1649,1647.89,1695,1623,38119378,1687.98,1633.08
Tamin Petro.-a,PTAP,20130722,1648,1626.54,1655,1612,38434453,1638.31,1612.16
Tamin Petro.-a,PTAP,20130723,1627,1648.76,1677,1623,44516973,1628.72,1644.84
Tamin Petro.-a,PTAP,20130724,1649,1648.33,1662,1635,37605892,1659.66,1643.10
Tamin Petro.-a,PTAP,20130727,1648,1637.00,1660,1626,26959353,1655.30,1633.51
Tamin Petro.-a,PTAP,20130728,1637,1632.21,1645,1614,17945121,1626.11,1629.59
Tamin Petro.-a,PTAP,20130729,1632,1623.49,1644,1609,45326738,1629.59,1620.88
Tamin Petro.-a,PTAP,20130731,1623,1614.78,1630,1605,39246718,1625.23,1605.63
Tamin Petro.-a,PTAP,20130803,1615,1585.58,1616,1566,40289626,1612.16,1572.51
Tamin Petro.-a,PTAP,20130804,1586,1565.98,1585,1553,29619726,1572.95,1563.36
Tamin Petro.-a,PTAP,20130805,1566,1615.65,1628,1571,32074854,1581.66,1589.51
Tamin Petro.-a,PTAP,20130806,1616,1587.33,1611,1577,22809777,1603.45,1586.02
Tamin Petro.-a,PTAP,20130807,1587,1573.38,1590,1564,38973058,1590.38,1564.23
Tamin Petro.-a,PTAP,20130812,1573,1608.68,1617,1590,30628280,1616.52,1599.09
Tamin Petro.-a,PTAP,20130813,1609,1597.35,1634,1576,28754779,1611.29,1586.02
Tamin Petro.-a,PTAP,20130814,1597,1586.89,1599,1580,25387254,1585.58,1590.38
Tamin Petro.-a,PTAP,20130817,1587,1650.07,1650,1650,39840816,1650.07,1650.07
Tamin Petro.-a,PTAP,20130818,1650,1657.91,1689,1634,58123187,1667.06,1651.38
Tamin Petro.-a,PTAP,20130819,1658,1709.76,1724,1634,68847904,1655.73,1700.18
Tamin Petro.-a,PTAP,20130820,1710,1704.54,1741,1680,19651029,1723.27,1694.51
Tamin Petro.-a,PTAP,20130821,1705,1687.11,1705,1677,12431849,1686.24,1677.96
Tamin Petro.-a,PTAP,20130824,1687,1701.05,1717,1678,13476316,1699.31,1699.31
Tamin Petro.-a,PTAP,20130825,1701,1691.90,1712,1673,14799886,1712.38,1690.59
Tamin Petro.-a,PTAP,20130826,1692,1669.24,1691,1662,18219058,1690.59,1668.81
Tamin Petro.-a,PTAP,20130827,1669,1653.56,1699,1608,29944277,1681.88,1613.03
Tamin Petro.-a,PTAP,20130828,1654,1589.07,1612,1588,36825211,1595.61,1587.76
Tamin Petro.-a,PTAP,20130831,1589,1607.37,1621,1590,9535807,1607.81,1613.91
Tamin Petro.-a,PTAP,20130901,1607,1650.51,1664,1615,13421605,1620.88,1664.01
Tamin Petro.-a,PTAP,20130903,1651,1658.35,1704,1630,14035291,1664.01,1645.28
Tamin Petro.-a,PTAP,20130904,1658,1626.98,1611,1592,4256759,1611.29,1592.12
Tamin Petro.-a,PTAP,20130907,1627,1582.97,1603,1570,17953062,1570.33,1599.09
Tamin Petro.-a,PTAP,20130908,1583,1632.64,1646,1598,19638180,1598.22,1646.15
Tamin Petro.-a,PTAP,20130909,1633,1666.63,1682,1646,14559009,1677.52,1653.56
Tamin Petro.-a,PTAP,20130910,1667,1725.45,1733,1691,56399420,1690.59,1733.29
Tamin Petro.-a,PTAP,20130911,1725,1724.58,1756,1700,79766809,1752.03,1738.52
Tamin Petro.-a,PTAP,20130921,1507,1640.48,1682,1613,51682032,1657.04,1624.80
Tamin Petro.-a,PTAP,20130922,1640,1578.61,1612,1575,37366609,1612.16,1579.48
Tamin Petro.-a,PTAP,20130923,1579,1602.14,1630,1578,23412009,1589.51,1598.66
Tamin Petro.-a,PTAP,20130924,1602,1582.97,1608,1573,18128873,1607.81,1577.31
Tamin Petro.-a,PTAP,20130925,1583,1593.43,1617,1569,19767123,1586.02,1597.35
Tamin Petro.-a,PTAP,20130928,1593,1625.67,1637,1610,27806754,1633.95,1629.16
Tamin Petro.-a,PTAP,20130929,1626,1644.41,1680,1617,33114813,1642.23,1647.02
Tamin Petro.-a,PTAP,20130930,1644,1642.66,1673,1617,31800974,1650.94,1649.20
Tamin Petro.-a,PTAP,20131001,1643,1639.18,1653,1617,22297469,1640.05,1642.66
Tamin Petro.-a,PTAP,20131002,1639,1618.26,1637,1610,19208185,1637.43,1620.88
Tamin Petro.-a,PTAP,20131005,1618,1616.96,1634,1608,18162075,1625.23,1609.98
Tamin Petro.-a,PTAP,20131006,1617,1609.11,1634,1601,19568219,1617.83,1612.16
Tamin Petro.-a,PTAP,20131007,1609,1620.44,1642,1599,14526236,1616.52,1633.95
Tamin Petro.-a,PTAP,20131008,1620,1631.77,1651,1621,12421736,1650.07,1633.95
Tamin Petro.-a,PTAP,20131009,1632,1677.09,1697,1634,31392423,1638.31,1696.69
Tamin Petro.-a,PTAP,20131012,1677,1743.75,1744,1744,12698221,1743.75,1743.75
Tamin Petro.-a,PTAP,20131013,1744,1810.42,1813,1783,255257093,1813.47,1797.34
Tamin Petro.-a,PTAP,20131014,1810,1867.49,1883,1780,103841125,1797.34,1882.74
Tamin Petro.-a,PTAP,20131015,1867,1939.82,1942,1891,70251224,1917.17,1942.00
Tamin Petro.-a,PTAP,20131019,1940,2017.38,2017,2013,140008924,2017.38,2017.38
Tamin Petro.-a,PTAP,20131020,2017,2043.53,2098,1938,159569080,1960.74,2097.55
Tamin Petro.-a,PTAP,20131021,2044,2124.13,2125,2092,123254519,2117.16,2125.01
Tamin Petro.-a,PTAP,20131022,2124,2114.98,2170,2048,76687947,2148.10,2094.94
Tamin Petro.-a,PTAP,20131023,2115,2090.58,2134,2033,50938412,2065.31,2100.17
Tamin Petro.-a,PTAP,20131026,2091,2124.13,2157,2065,46970727,2129.80,2078.38
Tamin Petro.-a,PTAP,20131027,2124,2040.91,2091,2039,43581378,2091.02,2043.53
Tamin Petro.-a,PTAP,20131028,2041,2057.47,2078,1961,55240500,2026.53,2077.95
Tamin Petro.-a,PTAP,20131029,2057,2094.50,2109,2070,25060924,2091.45,2092.33
Tamin Petro.-a,PTAP,20131030,2095,2110.19,2144,2091,26445142,2113.24,2095.81
Tamin Petro.-a,PTAP,20131102,2110,2049.63,2113,2026,22565867,2113.24,2048.32
Tamin Petro.-a,PTAP,20131103,2050,2036.12,2065,2004,25896089,2065.31,2009.54
Tamin Petro.-a,PTAP,20131104,2036,2043.09,2078,1996,24879741,2030.45,2039.17
Tamin Petro.-a,PTAP,20131105,2043,2058.34,2078,2043,14592944,2047.88,2058.78
Tamin Petro.-a,PTAP,20131106,2058,2133.72,2140,2070,61811145,2086.23,2140.26
Tamin Petro.-a,PTAP,20131109,2134,2218.25,2219,2183,155203235,2218.68,2218.68
Tamin Petro.-a,PTAP,20131110,2218,2276.64,2306,2188,70705189,2222.17,2297.11
Tamin Petro.-a,PTAP,20131111,2277,2287.96,2348,2225,34931716,2309.31,2248.31
Tamin Petro.-a,PTAP,20131112,2288,2281.86,2333,2222,31144016,2265.74,2309.31
Tamin Petro.-a,PTAP,20131116,2282,2369.88,2373,2327,57066382,2335.46,2372.49
Tamin Petro.-a,PTAP,20131117,2370,2392.10,2449,2344,46341043,2430.88,2352.89
Tamin Petro.-a,PTAP,20131118,2392,2392.97,2440,2327,26680265,2385.57,2399.07
Tamin Petro.-a,PTAP,20131119,2393,2398.64,2440,2366,33681125,2370.75,2386.44
Tamin Petro.-a,PTAP,20131120,2399,2377.72,2417,2353,35922997,2396.46,2358.55
Tamin Petro.-a,PTAP,20131123,2378,2380.34,2436,2353,34054509,2413.89,2353.32
Tamin Petro.-a,PTAP,20131124,2380,2458.77,2475,2392,28652373,2475.32,2475.32
Tamin Petro.-a,PTAP,20131125,2459,2554.19,2557,2507,60019244,2556.80,2548.96
Tamin Petro.-a,PTAP,20131126,2554,2538.50,2571,2484,32454519,2564.21,2562.03
Tamin Petro.-a,PTAP,20131127,2539,2510.62,2549,2484,28948971,2548.96,2484.04
Tamin Petro.-a,PTAP,20131130,2511,2511.92,2555,2441,41176711,2504.95,2538.07
Tamin Petro.-a,PTAP,20131201,2512,2449.62,2540,2412,49374622,2540.25,2418.24
Tamin Petro.-a,PTAP,20131202,2450,2422.17,2462,2366,24627764,2396.46,2401.25
Tamin Petro.-a,PTAP,20131203,2422,2355.50,2430,2325,47973132,2418.24,2335.89
Tamin Petro.-a,PTAP,20131204,2356,2443.52,2450,2372,20155189,2418.24,2449.62
Tamin Petro.-a,PTAP,20131207,2444,2534.58,2541,2505,39842279,2540.25,2541.12
Tamin Petro.-a,PTAP,20131208,2535,2617.80,2636,2540,25434718,2565.52,2635.67
Tamin Petro.-a,PTAP,20131209,2618,2705.38,2722,2636,78754403,2722.38,2694.93
Tamin Petro.-a,PTAP,20131210,2705,2663.99,2701,2636,27164434,2701.03,2666.60
Tamin Petro.-a,PTAP,20131211,2664,2649.61,2692,2620,19977216,2691.88,2644.82
Tamin Petro.-a,PTAP,20131214,2650,2594.71,2636,2553,27094025,2570.75,2568.13
Tamin Petro.-a,PTAP,20131215,2595,2615.63,2658,2579,23167357,2579.46,2614.75
Tamin Petro.-a,PTAP,20131216,2616,2561.60,2632,2527,35965040,2631.75,2542.42
Tamin Petro.-a,PTAP,20131217,2562,2545.47,2593,2505,25558322,2548.96,2540.25
Tamin Petro.-a,PTAP,20131218,2545,2510.62,2570,2444,43130398,2562.03,2443.95
Tamin Petro.-a,PTAP,20131221,2511,2479.25,2410,2410,2706701,2410.40,2410.40
Tamin Petro.-a,PTAP,20131222,2479,2410.40,2504,2380,50698179,2380.34,2436.11
Tamin Petro.-a,PTAP,20131224,2410,2449.18,2488,2423,21824089,2440.03,2426.96
Tamin Petro.-a,PTAP,20131225,2449,2375.98,2471,2352,32904770,2454.41,2365.09
Tamin Petro.-a,PTAP,20131228,2376,2294.06,2362,2281,33432370,2353.76,2298.42
Tamin Petro.-a,PTAP,20131229,2294,2255.72,2331,2223,19841879,2287.53,2265.74
Tamin Petro.-a,PTAP,20131230,2256,2182.52,2222,2166,53417762,2165.53,2190.80
Tamin Petro.-a,PTAP,20140101,2183,2259.64,2270,2183,14325553,2230.88,2269.66
Tamin Petro.-a,PTAP,20140104,2260,2349.84,2350,2332,13260304,2349.84,2349.84
Tamin Petro.-a,PTAP,20140105,2350,2399.07,2443,2335,30077731,2443.08,2396.46
Tamin Petro.-a,PTAP,20140106,2399,2313.24,2370,2303,13797288,2369.88,2303.21
Tamin Petro.-a,PTAP,20140107,2313,2243.09,2266,2231,13000113,2265.74,2237.86
Tamin Petro.-a,PTAP,20140108,2243,2252.24,2301,2222,8968049,2248.75,2243.96
Tamin Petro.-a,PTAP,20140111,2252,2238.73,2307,2221,8481366,2263.56,2230.45
Tamin Petro.-a,PTAP,20140112,2239,2164.22,2248,2149,20216691,2248.31,2200.38
Tamin Petro.-a,PTAP,20140113,2164,2250.49,2250,2250,8801878,2250.49,2250.49
Tamin Petro.-a,PTAP,20140114,2250,2295.37,2335,2243,17518510,2335.46,2270.10
Tamin Petro.-a,PTAP,20140115,2295,2257.03,2266,2222,5854433,2266.18,2248.31
Tamin Petro.-a,PTAP,20140118,2257,2226.09,2244,2209,7416137,2243.96,2213.02
Tamin Petro.-a,PTAP,20140120,2226,2179.47,2243,2139,20017167,2225.66,2169.88
Tamin Petro.-a,PTAP,20140121,2179,2241.34,2267,2188,13820329,2222.17,2205.18
Tamin Petro.-a,PTAP,20140122,2241,2193.41,2253,2166,10164228,2252.67,2206.92
Tamin Petro.-a,PTAP,20140125,2193,2251.36,2278,2196,14964460,2234.81,2252.24
Tamin Petro.-a,PTAP,20140126,2251,2238.29,2309,2196,13702681,2274.46,2206.92
Tamin Petro.-a,PTAP,20140127,2238,2188.18,2244,2166,17751911,2217.81,2209.10
Tamin Petro.-a,PTAP,20140128,2188,2259.21,2275,2214,13497097,2230.88,2275.33
Tamin Petro.-a,PTAP,20140129,2259,2327.61,2349,2261,17118750,2296.24,2349.40
Tamin Petro.-a,PTAP,20140201,2328,2379.03,2411,2339,16883369,2379.03,2365.96
Tamin Petro.-a,PTAP,20140202,2379,2293.63,2353,2284,20164911,2352.89,2300.60
Tamin Petro.-a,PTAP,20140203,2294,2264.00,2288,2227,7339259,2257.46,2266.18
Tamin Petro.-a,PTAP,20140204,2264,2269.23,2287,2248,11275120,2270.10,2279.25
Tamin Petro.-a,PTAP,20140205,2269,2235.24,2179,2179,3244148,2178.60,2178.60
Tamin Petro.-a,PTAP,20140208,2235,2233.06,2146,2146,233197,2145.92,2145.92
Tamin Petro.-a,PTAP,20140226,2233,2145.05,2179,2144,41890790,2143.74,2145.05
Tamin Petro.-a,PTAP,20140301,2145,2145.92,2178,2096,18924364,2096.25,2145.48
Tamin Petro.-a,PTAP,20140302,2146,2113.24,2170,2072,7289074,2161.61,2095.81
Tamin Petro.-a,PTAP,20140303,2113,2031.76,2048,2029,11201609,2047.88,2028.71
Tamin Petro.-a,PTAP,20140304,2032,1978.17,2025,1951,11981293,1955.95,1977.73
Tamin Petro.-a,PTAP,20140305,1978,2043.53,2057,1996,9934854,1999.95,2033.07
Tamin Petro.-a,PTAP,20140308,2044,2046.58,2108,2009,5157938,2091.02,2046.58
Tamin Petro.-a,PTAP,20140309,2047,2023.48,2029,1983,4253285,2029.15,1997.77
Tamin Petro.-a,PTAP,20140310,2023,1998.65,2006,1961,4425631,1986.45,1975.99
Tamin Petro.-a,PTAP,20140311,1999,1973.37,2003,1939,8431020,1962.92,1975.12
Tamin Petro.-a,PTAP,20140312,1973,1992.55,2052,1948,5751812,1965.10,2004.31
Tamin Petro.-a,PTAP,20140315,1993,2023.92,2070,2022,5700760,2032.20,2047.88
Tamin Petro.-a,PTAP,20140316,2024,2093.63,2105,2044,8260495,2064.88,2104.53
Tamin Petro.-a,PTAP,20140317,2094,2168.58,2177,2113,8016042,2177.29,2177.29
Tamin Petro.-a,PTAP,20140318,2169,2182.96,2248,2135,8533025,2243.96,2167.71
Tamin Petro.-a,PTAP,20140319,2183,2209.53,2235,2183,8413032,2199.51,2215.63
Tamin Petro.-a,PTAP,20140325,2210,2210.41,2244,2192,2227903,2243.96,2200.38
Tamin Petro.-a,PTAP,20140326,2210,2189.06,2200,2135,3693541,2200.38,2160.30
Tamin Petro.-a,PTAP,20140329,2189,2167.71,2161,2126,3712436,2156.81,2144.61
