Name,Code,Date,Open,Close,High,Low,Volume,First,Last
S*Mobarakeh Steel-a,FOLD,20070311,47,46.74,48,47,468077431,46.74,46.74
S*Mobarakeh Steel-a,FOLD,20070312,47,47.68,48,48,100041000,47.68,47.68
S*Mobarakeh Steel-a,FOLD,20070313,48,48.54,49,47,126270939,48.61,48.54
S*Mobarakeh Steel-a,FOLD,20070314,49,47.58,48,48,26705128,47.58,47.58
S*Mobarakeh Steel-a,FOLD,20070317,48,46.69,47,47,14877283,46.64,46.69
S*Mobarakeh Steel-a,FOLD,20070319,47,46.37,47,46,12428574,46.05,46.37
S*Mobarakeh Steel-a,FOLD,20070325,46,46.60,47,46,4151051,46.28,46.60
S*Mobarakeh Steel-a,FOLD,20070326,47,46.74,48,47,2604320,47.41,46.74
S*Mobarakeh Steel-a,FOLD,20070327,47,46.84,48,47,1737471,46.96,46.84
S*Mobarakeh Steel-a,FOLD,20070328,47,46.89,47,47,1466522,47.36,46.89
S*Mobarakeh Steel-a,FOLD,20070331,47,46.87,47,46,818231,46.84,46.87
S*Mobarakeh Steel-a,FOLD,20070403,47,46.74,47,46,2705358,46.74,46.74
S*Mobarakeh Steel-a,FOLD,20070404,47,46.64,47,46,1649990,46.42,46.64
S*Mobarakeh Steel-a,FOLD,20070407,47,46.28,46,46,5050280,46.40,46.28
S*Mobarakeh Steel-a,FOLD,20070408,46,46.23,47,45,3002511,45.61,46.23
S*Mobarakeh Steel-a,FOLD,20070409,46,46.23,47,46,692951,46.47,46.23
S*Mobarakeh Steel-a,FOLD,20070410,46,46.32,47,46,1315311,46.92,46.32
S*Mobarakeh Steel-a,FOLD,20070411,46,46.25,46,46,1767488,46.15,46.25
S*Mobarakeh Steel-a,FOLD,20070414,46,46.13,46,45,1975101,45.86,46.13
S*Mobarakeh Steel-a,FOLD,20070415,46,45.93,46,45,2879638,45.46,45.93
S*Mobarakeh Steel-a,FOLD,20070416,46,45.81,46,45,1890750,45.22,45.81
S*Mobarakeh Steel-a,FOLD,20070417,46,45.78,46,45,1368173,45.46,45.78
S*Mobarakeh Steel-a,FOLD,20070418,46,45.93,47,46,3024167,46.15,45.93
S*Mobarakeh Steel-a,FOLD,20070421,46,46.32,47,46,5473667,46.82,46.32
S*Mobarakeh Steel-a,FOLD,20070422,46,46.45,47,46,1773788,47.23,46.45
S*Mobarakeh Steel-a,FOLD,20070423,46,46.47,47,46,826566,47.36,46.47
S*Mobarakeh Steel-a,FOLD,20070424,46,46.50,47,23,3831874711,46.74,46.50
S*Mobarakeh Steel-a,FOLD,20070425,46,46.50,47,46,1796465,46.74,46.50
S*Mobarakeh Steel-a,FOLD,20070428,46,46.35,46,46,2176594,46.50,46.35
S*Mobarakeh Steel-a,FOLD,20070429,46,46.08,46,45,3633565,45.44,46.08
S*Mobarakeh Steel-a,FOLD,20070430,46,46.35,47,46,5581299,45.68,46.35
S*Mobarakeh Steel-a,FOLD,20070501,46,46.35,47,46,1387680,46.62,46.35
S*Mobarakeh Steel-a,FOLD,20070502,46,46.28,46,45,1524106,46.47,46.28
S*Mobarakeh Steel-a,FOLD,20070505,46,46.10,46,45,2523017,45.61,46.10
S*Mobarakeh Steel-a,FOLD,20070506,46,45.83,46,45,3807216,45.19,45.83
S*Mobarakeh Steel-a,FOLD,20070507,46,45.64,46,45,2824699,45.14,45.64
S*Mobarakeh Steel-a,FOLD,20070508,46,45.54,46,45,3256904,44.77,45.54
S*Mobarakeh Steel-a,FOLD,20070509,46,45.44,46,45,3031843,44.97,45.44
S*Mobarakeh Steel-a,FOLD,20070512,45,45.46,46,45,1340525,45.19,45.46
